Problem: openmdao   method: _solve_nonlinear

  Parallel group: traj.phases (ncalls = 1)

  System                 Rank      Avg Time     Min Time     Max_time   Total Time
  node_152                  4        1.3745       1.3745       1.3745       1.3745
  node_6                    5        1.7773       1.7773       1.7773       1.7773
  node_14                   5        1.7082       1.7082       1.7082       1.7082
  node_22                   5        1.6695       1.6695       1.6695       1.6695
  node_30                   5        1.7350       1.7350       1.7350       1.7350
  node_37                   5        1.7150       1.7150       1.7150       1.7150
  node_46                   5        1.6083       1.6083       1.6083       1.6083
  node_54                   5        1.8015       1.8015       1.8015       1.8015
  node_60                   5        1.7880       1.7880       1.7880       1.7880
  node_63                   5        1.6793       1.6793       1.6793       1.6793
  node_71                   5        1.7212       1.7212       1.7212       1.7212
  node_87                   5        1.8728       1.8728       1.8728       1.8728
  node_95                   5        1.5739       1.5739       1.5739       1.5739
  node_103                  5        1.7538       1.7538       1.7538       1.7538
  node_111                  5        1.5673       1.5673       1.5673       1.5673
  node_118                  5        1.7796       1.7796       1.7796       1.7796
  node_120                  5        1.8028       1.8028       1.8028       1.8028
  node_127                  5        1.8027       1.8027       1.8027       1.8027
  node_135                  5        1.8176       1.8176       1.8176       1.8176
  node_143                  5        1.8078       1.8078       1.8078       1.8078
  node_151                  5        1.5509       1.5509       1.5509       1.5509
  node_5                    6        1.8410       1.8410       1.8410       1.8410
  node_13                   6        1.7625       1.7625       1.7625       1.7625
  node_21                   6        1.9039       1.9039       1.9039       1.9039
  node_28                   6        1.7472       1.7472       1.7472       1.7472
  node_29                   6        1.9436       1.9436       1.9436       1.9436
  node_45                   6        1.7066       1.7066       1.7066       1.7066
  node_53                   6        1.6724       1.6724       1.6724       1.6724
  node_62                   6        1.9705       1.9705       1.9705       1.9705
  node_69                   6        1.7648       1.7648       1.7648       1.7648
  node_70                   6        1.6871       1.6871       1.6871       1.6871
  node_86                   6        1.8665       1.8665       1.8665       1.8665
  node_94                   6        1.7338       1.7338       1.7338       1.7338
